Property,Title,Description,Alias,Clarification Title,Neo4j
P17,country,sovereign state that this item is in (not to be used for human beings),sovereign state|state|land|host country,country,country
P19,place of birth,"most specific known birth location of a person, animal or fictional character",birthplace|born in|POB|birth place|location born|born at|birth location|location of birth|birth city|born,place of birth,place_of_birth
P20,place of death,"most specific known (e.g. city instead of country, or hospital instead of city) death location of a person, animal or fictional character",deathplace|died in|death place|POD|location of death|death location|killed in|died,place of death,place_of_death
P21,sex or gender,"sex or gender identity of human or animal. For human: male, female, non-binary, intersex, transgender female, transgender male, agender, etc. For animal: male organism, female organism. Groups of same gender use subclass of (P279)",biological sex|sex|gender or sex|gender identity|gender expression|gender,sex or gender,sex_or_gender
P26,spouse,"the subject has the object as their spouse (husband, wife, partner, etc.). Use ""unmarried partner"" (P451) for non-married companions",wife|married to|marry|marriage partner|married|wedded to|wed|wives|husbands|spouses|husband|marital partner|married partner|common-law spouse|common-law wife|common-law husband,spouse,spouse
P27,country of citizenship,the object is a country that recognizes the subject as its citizen,subject of (country)|citizenship|citizen of|nation of citizenship|national of|(legal) nationality,country of citizenship,country_of_citizenship
P30,continent,continent of which the subject is a part,,geographical continent,continent
P31,instance of,that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform),is a|is an|unique individual of|unitary element of class|rdf:type|type|∈|example of|is of type|has type|item of type,instance of,instance_of
P35,head of state,official with the highest formal authority in a country/state,president|king|queen|emperor|monarch|state headed by|governor|leader|chief of state,chief of state (individual),head_of_state
P36,capital,"seat of government of a country, province, state or other type of administrative territorial entity",capital city|capital town|chef-lieu|principal place|county seat|administrative centre|administrative headquarters|has capital|court residence|seat|administrative seat|seat of government|administrative capital|government capital|county town|government seat|administrative center|location of capital,capital city,capital
P37,official language,language designated as official by this item,language official|spoken in|speaking|language spoken,official language,official_language
P38,currency,currency used by item,base currency|used money,currency,currency
P39,position held,subject currently or formerly holds the object position or public office,political office held|political seat|public office|office held|position occupied|holds position|function|held position|job,position held,position_held
P47,shares border with,"countries or administrative subdivisions, of equal level, that this item borders, either by land or water. A single common point is enough.",bordered by|adjacent to|next to|border|borders clockwise|shares borders with,shares border with,shares_border_with
P50,author,"main creator(s) of a written work (use on works, not humans); use P2093 (author name string) when Wikidata item is unknown or does not exist",written by|writer|creator|playwright|poet|maker,author,author
P54,member of sports team,sports teams or clubs that the subject represents or represented,member of team|team|played for|teams played for|of team|club played for|player of|part of team|team played for|plays for|sport team,member of sports team,member_of_sports_team
P57,director,"director(s) of film, TV-series, stageplay, video game or similar",directed by|film director|movie director|game director,media or game director,director
P58,screenwriter,person(s) who wrote the script for subject item,scriptwriter|screenplay by|teleplay by|writer (of screenplays)|film script by|written by|writing credits|scenarist|story by|video game writer|game writer,screenwriter,screenwriter
P61,discoverer or inventor,"subject who discovered, first described, invented, or developed this discovery or invention or scientific hypothesis or theory",inventor|discoverer|inventor or discoverer|developer|first described|invented by|created by|invented|discovered by|developed by|introduced by|devised by,discoverer or inventor,discoverer_or_inventor
P66,ancestral home,place of origin for ancestors of subject,native place|native village|ancestral village|ancestral place|ancestral homeplace|ancestral home place|ancestral land|ancestral homeland,ancestral home,ancestral_home
P69,educated at,educational institution attended by subject,alma mater|education|alumni of|alumna of|college attended|University attended|school attended|studied at|graduate of|graduated from|faculty|place of education|alumnus of|attended|went to school at|schooled at|attended school at|schooling place|education place|student of|student at,educated at,educated_at
P101,field of work,specialization of a person or organization; see P106 for the occupation,field of study|fields|discipline|subject|area|specialism|domain|academic discipline|scientific discipline|academic area|scientific area|FOW|studies|responsible for|conduct research about|be researcher in|research on|speciality|activity|domain of activity|activity domain|academic subject|trade|area of work|specialty|research|field of research|research fields|research field,field of work,field_of_work
P102,member of political party,the political party of which a person is or has been a member or otherwise affiliated,party|member of|member of party|party membership|political party member|political party,member of political party,member_of_political_party
P106,occupation,"occupation of a person; see also ""field of work"" (Property:P101), ""position held"" (Property:P39)",profession|job|work|career|employment|craft|employ|vocation|avocation,job occupation,occupation
P108,employer,person or organization for which the subject works or worked,employed by|works at|working for|worked for|works for|worked at|working place|working at|organization|organisation,employer,employer
P112,founded by,"founder or co-founder of this organization, religion, place or entity",co-founder|founders|established by|co-founded by|founder|started by|cofounder|cofounded by|institutor|instituted by|created by|creator|establisher|starter|begun by|donated by,founded by,founded_by
P115,home venue,home stadium or venue of a sports team or applicable performing arts organization,ground|home field|arena|home ground|stadium|ballpark|home water|venue,home venue,home_venue
P119,place of burial,"location of grave, resting place, place of ash-scattering, etc. (e.g., town/city or cemetery) for a person or animal. There may be several places: e.g., re-burials, parts of body buried separately.",burial place|resting place|place of grave|buried in|grave at|location of burial|tomb|interment|place of interment|buried at|burial location|interment place|interment location|entombed at|interred at|ashes scattered at|remains at|cemetery,place of burial,place_of_burial
P122,basic form of government,subject's government,type of government|form of government|government,basic form of government,basic_form_of_government
P123,publisher,"organization or person responsible for publishing books, periodicals, printed music, podcasts, games or software",book publisher|video game publisher|software publisher|publishing house|published by|board game publisher|comic publisher|comic book publisher|music publisher|printed music publisher|sheet music publisher,publisher,publisher
P127,owned by,owner of the subject,is owned by|owner|belongs to|shareholder|stockholder|shareholders|stockholders|owners|provenance|belonged to|proprietor,owned by,owned_by
P131,located in the administrative territorial entity,the item is located on the territory of the following administrative entity. Use P276 for specifying locations that are non-administrative places and for items about events. Use P1382 if the item falls only partially into the administrative entity.,located in the administrative unit|located in administrative unit|is in administrative unit|is located in|is in the state of|is in the province of|is in the county of|is in the district of|is in the department of|is in the region of|is in the borough of|is in the city of|is in the town of|is in the village of|is in the municipality of|is in the territory of|is in the prefecture of|is in the voivodeship of|is in the Indian reservation of|is in the Indian reserve of|is in the ward of|is in the administrative region of|is in the settlement of|is in the local government area of|is in the rural city of|is in the shire of|happens in|is in the commune of|in administrative unit|in|is in the administrative unit|administrative territorial entity|city|town|state|Indian reservation|in the administrative unit|locality|is in the parish of|location (administrative territorial entity)|is in the principal area of|located in the territorial entity|region|is in the arrondissement of|administrative territory|territory,located in the administrative territorial entity,located_in_the_administrative_territorial_entity
P136,genre,creative work's genre or an artist's field of work (P101). Use main subject (P921) to relate creative works to their topic,music genre|film genre|artistic genre|literary genre|kind of music|type of film|genre of music|type of music|art style|genres|genre of literature,media genre,genre
P138,named after,"entity or event that inspired the subject's name, or namesake (in at least one language). Qualifier ""applies to name"" (P5168) can be used to indicate which one",eponym|named for|namesake|etymology|toponym|name after|named in honor of,named after,named_after
P140,religion or worldview,"religion of a person, organization or religious building, or associated with this subject",religious affiliation|faith|life stance|denomination|follower of religion|follows religion|has religion|religion or world view|pantheon|belief system|religion|worldview|believes|devotee of,religion or worldview,religion_or_worldview
P144,based on,the work(s) or inputs used as the basis for subject item,adaptation of|adapted from|based on work|based upon|copy of|cover of|derivative of|derivative work of|derived from|extended from|fork of|has parts from|inherits from|inspired by|modeled after|modelled after|parody of|remake of|replica of|source work|theme|themed after|continuation of|expansion of|continues|follows|remix of|iteration of|reboot of|input,based on,based_on
P150,contains the administrative territorial entity,(list of) direct subdivisions of an administrative territorial entity,contains|divides into|divided into|has towns|has shires|has cities|has rural cities|has municipalities|has wards|has local government areas|has districts|has boroughs|subdivided into|has counties|has administrative divisions|has arrondissements|has villages|has regions|has states|has members|has countries|contains administrative territorial entity|includes the administrative territorial entity,contains the administrative territorial entity,contains_the_administrative_territorial_entity
P155,follows,"immediately prior item in a series of which the subject is a part, preferably use as qualifier of P179 [if the subject has replaced the preceding item, e.g. political offices, use ""replaces"" (P1365)]",succeeds to|previous is|before was|predecessor|preceded by|prequel is|sequel of|split from|comes after|successor to|succeeds|prev|previous element|is after,succeeds to,follows
P159,headquarters location,"city or town, where an organization's headquarters is or has been situated. Use P276 qualifier for specific building",head office location|HQ|garrison|admin HQ|seat|headquarters|head quarters|HQ location|based in|location of headquarters|principal office,headquarters location,headquarters_location
P161,cast member,"actor in the subject production [use ""character role"" (P453) and/or ""name of the character role"" (P4633) as qualifiers] [use ""voice actor"" (P725) for voice-only role]",starring|film starring|actor|actress|contestant of a play|starring (film/play)|feat.,cast member,cast_member
P162,producer,"person(s) who produced the film, musical work, theatrical production, etc. (for film, this does not include executive producers, associate producers, etc.) [for production company, use P272, video games - use P178]",record producer|film producer|produced by|music producer|musical producer,media or game producer,producer
P166,award received,"award or recognition received by a person, organization or creative work",prize received|awards|honorary title|recognition title|award|honours|honors|medals|awarded|award won|prize awarded|awards received|win|winner of|received award,award received,award_received
P169,chief executive officer,highest-ranking corporate officer appointed as the CEO within an organization,CEO|chief executive|executive director,chief executive officer,chief_executive_officer
P170,creator,maker of this creative work or other object (where no more specific property exists),artist (non-musical)|created by|painter|sculptor|made by|painted by|sculpted by|visual artist|art by|artwork by|art work by|realized by|realised by|drawer|drawn by|by,media or game creator,creator
P171,parent taxon,closest parent taxon of the taxon in question,taxon parent|higher taxon,parent taxon,parent_taxon
P172,ethnic group,"subject's ethnicity (consensus is that a VERY high standard of proof is needed for this field to be used. In general this means 1) the subject claims it themselves, or 2) it is widely agreed on by scholars, or 3) is fictional and portrayed as such)",ethnicity|culture|people|(cultural) nationality|race|ethnic or cultural origin|tribal affiliation,ethnic group,ethnic_group
P175,performer,"actor, musician, band or other performer associated with this role or musical work",artist|musician|played by|portrayed by|recorded by|recording by|dancer|actor|musical artist|performed by|actress|sung by|singer,media performer,performer
P176,manufacturer,(main or final) manufacturer or producer of this product,manufactured by|maker|built by|builder|made by|product of|provider|provided by|assembler|assembled by|producer|mfr|produced by,manufacturer,manufacturer
P194,legislative body,"legislative body governing this entity; political institution with elected representatives, such as a parliament/legislature or council",representative body|parliament|council|assembly|diet|rural council|district council|municipal council|aboriginal council|indigenous council|city council|local government area|LGA|District|Tehsil|Zila|Jila,legislative body,legislative_body
P264,record label,brand and trademark associated with the marketing of subject music recordings and music videos,label|labels,record label,record_label
P272,production company,"company that produced this film, audio or performing arts work",film studio|studio|motion picture studio|movie studio|production house|theatre company|theater company|theatrical troupe|ballet company|broadcasting company|produced by (company)|producer (company),production company,production_company
P275,copyright license,license under which this copyrighted work is released,licence|content license|content licence|copyright licence|license|software license,copyright license,copyright_license
P276,location,"location of the object, structure or event. In the case of an administrative entity as containing item use P131. For statistical entities use P8138. In the case of a geographic entity use P706. Use P7153 for locations associated with the object",whereabouts|moveable object location|located in|venue|is in|location of item|place held|based in|neighborhood|region|in|located|locality|locale|from|place|neighbourhood|suburb|held by,physical location,location
P277,programmed in,the programming language(s) in which the software is developed,language|written in|programming language,programmed in,programmed_in
P279,subclass of,"this item is a subclass (subset) of that item; all instances of this item are instances of that item; different from P31 (instance of), e.g.: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)",rdfs:subClassOf|hyponym of|has superclass|subtype of|subcategory of|is thereby also a|is necessarily also a|whose instances are among|is a type of|is a class of|type of|form of|way of|all members of this class also belong to|hyperonym|category of|whose instances are a subset of those of|sc (abbreviation)|kind of|sort of|variant of,subclass of,subclass_of
P306,operating system,operating system (OS) on which a software works or the OS installed on hardware,OS|supported OS|supported operating system|supported platform,operating system,operating_system
P344,director of photography,"person responsible for the framing, lighting, and filtration of the subject work",cinematographer|DOP,director of photography,director_of_photography
P361,part of,"object of which the subject is a part (if this subject is already part of object A which is a part of object B, then please only make the subject part of object A), inverse property of ""has part"" (P527, see also ""has parts of the class"" (P2670))",meronym of|section of|system of|subsystem of|subassembly of|contained within|assembly of|part of-property|component of|in|within|is part of|subgroup of|collateral branch of|cadet branch of|branch of|element of|chain|contained in,part of,part_of
P364,original language of film or TV show,"language in which a film or a performance work was originally created. Deprecated for written works and songs; use P407 (""language of work or name"") instead.",original language|language of the original work|created on language|language,original language of film or TV show,original_language_of_film_or_TV_show
P366,has use,main use of the subject (includes current and former usage),function|role|mission|purpose|utility|used for|used in|usage|used as|as|unit mission|use|can be used for|has purpose|has function|had use|have use,"has use, function or purpose",has_use
P400,platform,"platform for which a work was developed or released, or the specific platform version of a software product",platforms|computing platform|game platform|environment|runtime|published on|hardware,computing platform,platform
P407,language of work or name,"language associated with this creative work (such as books, shows, songs, broadcasts or websites) or a name (for persons use ""native language"" (P103) and ""languages spoken, written or signed"" (P1412))",broadcasting language|audio language|available in|language of work|language of the reference|language of website|language of URL|used language|language of the name|language of name|language of spoken text|named in language|language,language of work or name,language_of_work_or_name
P413,position played on team / speciality,position or specialism of a player on a team,fielding position|specialism|position (on team)|speciality|player position|position,position played on team / speciality,position_played_on_team_speciality
P421,located in time zone,time zone for this item,timezone|time zone|TZ,located in time zone,located_in_time_zone
P425,field of this occupation,"field corresponding to this occupation or profession (use only for occupations/professions - for people use Property:P101, for companies use P452)",profession's field|activity corresponding to this occupation|field of this profession|practices|practice|field of occupation|field of profession|works in|does,occupational field,field_of_this_occupation
P437,distribution format,method (or type) of distribution for the subject,media|media type|type of media|form of publication|format|edition|book format|media format|medium|distribution|method of distribution|publication format|distribution method,distribution format,distribution_format
P449,original broadcaster,network(s) or service(s) that originally broadcast a radio or television program,original channel|channel|TV channel|radio network|network|television channel|radio station|original air channel|broadcast on|first air channel|original network|aired on|airs on,original broadcaster,original_broadcaster
P451,unmarried partner,"someone with whom the person is in a relationship without being married. Use ""spouse"" (P26) for married couples",girlfriend|boyfriend|lover|cohabitant|partner|domestic partner|significant other|enbyfriend|sex partner|romantic partner|life partner|partners|is partner of|is the partner of|SO|partner of|posslq|spiritual partner|relationship,unmarried partner,unmarried_partner
P452,industry,specific industry of company or organization,field of action|field of exercise|sector|branch|economic branch,industry,industry
P460,said to be the same as,"this item is said to be the same as that item, though this may be uncertain or disputed",the same as|equivalent to|equivalent of|is the same as|is said to be the same as|same|conspecific with|said to be equal to|equal to|could be equal to|may be equal to|could be|may be|said to be same as|same as|synonymous with|said to be identical to|may be identical to|could be identical to|identical to|could be the same as|may be the same as,said to be the same as,said_to_be_the_same_as
P461,opposite of,item that is in some way the opposite of this item,inverse|opposite|is the opposite of|inverse of|contrasted to|contrast of|is opposite of|opposite to|has opposite,opposite of,opposite_of
P462,color,color of subject,colour|colors|colours|has color|has colour|pigment|dye|has the colour|has the color|of the color|of the colour|with the colour|with the color,color,color
P463,member of,"organization, club or musical group to which the subject belongs. Do not use for membership in ethnic or social groups, nor for holding a political position, such as a member of parliament (use P39 for that)",membership|band member of|be member of|member of musical group|in musical group,member of,member_of
P488,chairperson,"presiding member of an organization, group or body",leader|headed by|chairwoman|president|chair|chairman|dean,chairperson,chairperson
P495,country of origin,"country of origin of this item (creative work, food, phrase, product, etc.)",place of origin|comes from|CoO|originates from|origin country|country,country of origin,country_of_origin
P509,cause of death,"underlying or immediate cause of death.  Underlying cause (e.g. car accident, stomach cancer) preferred. Use 'manner of death' (P1196) for broadest category, e.g. natural causes, accident, homicide, suicide",method of murder|death cause|die from|murder method|die of|died of,cause of death,cause_of_death
P511,honorific prefix,"word or expression used before a name, in addressing or referring to a person",style prefix|pre-nominal|called|referred to as|honorific title,honorific prefix,honorific_prefix
P542,officially opened by,person that officially opened the event or place,opened by|inaugurated by,inaugurated by,officially_opened_by
P551,residence,"the place where the person is or has been, resident",lives in|hometown|home town|place of residence|resident of|resided in|resided at|lived in|resident in|has resided in|home city,place of residence,residence
P607,conflict,"battles, wars or other military engagements in which the person or item participated",war|battle|participated in conflict|participant in conflict|in conflict|in action|theater (military)|theatre (military)|military conflict|military engagement|engagement,participated in conflict,conflict
P610,highest point,"point with highest elevation in a region, or on the path of a race or route",highest peak|zenith|summit|extreme point highest|pinnacle|elevation of highest point|tallest point,highest point,highest_point
P611,religious order,order of monks or nuns to which an individual or religious house belongs,order|monastic order,religious order,religious_order
P641,sport,sport that the subject participates or participated in or is associated with,sports|sport played|play|plays,sport,sport
P674,characters,"characters which appear in this item (like plays, operas, operettas, books, comics, films, TV series, video games)",appears in this work,characters,characters
P737,influenced by,"this person, idea, etc. is informed by that other person, idea, etc., e.g. “Heidegger was influenced by Aristotle”",informed by|has influence|favorite player|role model,influenced by,influenced_by
P740,location of formation,location where a group or organization was formed,originates from|comes from|place of foundation|founded in|formation location|source location of group/organisation|formed in|from|place of formation|place of incorporation|place of establishment|place of origin,location of formation,location_of_formation
P749,parent organization,"parent organization of an organization, opposite of subsidiaries (P355)",parent organisation|owned by (company or organisation)|holding|holding company|part of|parent unit|parent agency|superior formation|owned by (company or organization)|subsidiary of|parent company|has organizational parent,parent organization,parent_organization
P750,distributed by,distributor of a creative work; distributor for a record label; news agency; film distributor,distributor,distributed by,distributed_by
P780,symptoms and signs,possible symptoms or signs of a medical condition,symptoms|has symptom|clinical sign|clinical symptom,symptoms and signs,symptoms_and_signs
P793,significant event,significant or notable events associated with the subject,key event|key incident|significant incident|notable event|notable incident|major event|big event|main events|fate|outcome|known for|significant achievment|sign. event|important event|significant occurrence|event,significant event,significant_event
P797,authority,entity having executive power on given entity,executive authority|governing body|governing authority|has authority|has governing body|governed by|issuer|issued by,authority,authority
P800,notable work,"notable scientific, artistic or literary work, or other work of significance among subject's works",major works|famous works|significant works|notable books|famous books|representative work|literary works|bibliography|work|works|known for|famous for|significance|artwork|creator of|representative of artwork type|they wrote|they designed|they discovered|they invented|they created|author of|writer of|wrote|books by|founder of|founded|main work,notable work,notable_work
P802,student,notable student(s) of the subject individual,students|teacher of|pupil|pupils|disciple|disciples|teacher to|had student|has student,student,student
P812,academic major,major someone studied at college/university,major|academic field|academic subject|subject|field of study|studied|college major,academic major,academic_major
P822,mascot,"mascot of an organization, e.g. a sports team or university",,mascot,mascot
P840,narrative location,the narrative of the work is set in this location,setting location|narrative set in|location of narrative|set in location|takes place in|playing in|setting of work|work set in|setting|setting place|set in|place set in|place of setting,narrative location,narrative_location
P915,filming location,"actual place where this scene/film was shot. For the setting, use ""narrative location"" (P840)",location of filming|location where filmed|studio where filmed|place of filming|place where filmed|filmed at|shooting location|filming location|film location|shot in|filmed in|filmed on location in,filming location,filming_location
